billboard_name,spotify_name,spotify_id,genres,popularity,match_status,years_active,first_year,last_year,song_count,sample_songs
Chencho Corleone,Chencho Corleone,37230BxxYs9ksS7OkZw3IU,reggaeton,77,found,2022,2022,2022,1,Me Porto Bonito
Cherine Anderson,Cherine Anderson,1d5nqaOa3PXgjrHv7hEQg4,"lovers rock, reggae, riddim, dancehall",45,found,2009,2009,2009,1,Say Hey (I Love You)
City Spud,City Spud,3L2SIGZah4QZSvN4wC8rHl,,61,found,2001,2001,2001,1,Ride wit Me
Corey Kent,Corey Kent,3sUpZrkehiGBaMzs2h9Mmc,"country, texas country",61,found,2023,2023,2023,1,Wild as Her
Cédric Gervais,Cedric Gervais,4Wjf8diP59VmPG7fi4y724,edm,64,found,2013,2013,2013,1,Summertime Sadness
DHT,DHT,7lVtH5UmhLGyfN9iS2FFk7,,38,found,2005,2005,2005,1,Listen to Your Heart
DJ Frank E,DJ Frank E,4yt2wdqvcHygghx9iNUb6i,,50,found,2011,2011,2011,1,Tonight (I'm Lovin' You)
Darell,Darell,1TtXnWcUs0FCkaZDPGYHdf,"reggaeton, trap latino, dembow, urbano latino",77,found,2018,2018,2018,1,Te Boté
David Kushner,David Kushner,33NVpKoXjItPwUJTMZIOiY,,72,found,2023,2023,2023,1,Daylight
Diane Guerrero,Diane Guerrero,18MFcGBHtyW0mU3ufcm0X1,,56,found,2022,2022,2022,1,We Don't Talk About Bruno
Diddy – Dirty Money,Diddy - Dirty Money,2QYEvpsWUOjqaYuxDPTCmV,,50,found,2011,2011,2011,1,Coming Home
Do,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,,87,found,2002,2002,2002,1,Heaven
Doechii,Doechii,4E2rKHVDssGJm2SCDOMMJB,,77,found,2023,2023,2023,1,What It Is (Block Boy)
Don Toliver,Don Toliver,4Gso3d4CscCijv0lmajZWs,,87,found,2021,2021,2021,1,Lemonade
Eden's Crush,Eden's Crush,48VMsTwTzdzKc1aKcMnIbH,,20,found,2001,2001,2001,1,Get Over Yourself
Edmee,Edmee,2Bn9Kf2NC3mJfExuN9DMdE,,35,found,2005,2005,2005,1,Listen to Your Heart
Elliott Yamin,Elliott Yamin,4am1I89OWXUzFh4ctRLkdd,,44,found,2007,2007,2007,1,Wait for You
Em Beihold,Em Beihold,7o2ZQYM7nTsaVdkXY38UAA,,69,found,2022,2022,2022,1,Numb Little Bug
Encanto,Urbandawn,4Kjl91bg9I6TuhrEC0NQgX,"drum and bass, liquid funk",39,found,2022,2022,2022,1,We Don't Talk About Bruno
Eric Nally,Eric Nally,3NoeRIxHApi6qe4yan2Vnn,,49,found,2015,2015,2015,1,Downtown
Eric Turner,Eric Turner,79DOwuMzV2h4es3em0t002,,51,found,2011,2011,2011,1,Written in the Stars
Ernest,Ernest Ranglin,6RTCb5pWKinqlUyG2qacit,"rocksteady, dub, reggae, roots reggae",43,found,2022,2022,2022,1,Flower Shops
Eslabon Armado,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",77,found,2023,2023,2023,1,Ella Baila Sola
Evan and Jaron,Evan And Jaron,1xeZcY93inQY14LWwnxd5G,,36,found,2001,2001,2001,1,Crazy for This Girl
Fifty Fifty,FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,k-pop,65,found,2023,2023,2023,1,Cupid
Foster the People,Foster The People,7gP3bB2nilZXLfPHJhMdvc,,72,found,2011,2011,2011,1,Pumped Up Kicks
Freekey Zekey,Freekey Zeekey,6EjZmcZTs67OVOG511gGn3,,48,found,2002,2002,2002,1,Hey Ma
Fuerza Regida,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, sad sierreño, electro corridos",91,found,2023,2023,2023,1,Bebe Dame
Gavin Rossdale,Bush,78SHxLdtysAXgywQ4vE0Oa,"grunge, post-grunge",65,found,2008,2008,2008,1,Love Remains the Same
Gayle,GAYLE,2VSHKHBTiXWplO8lxcnUC9,,60,found,2022,2022,2022,1,ABCDEFU
Gente de Zona,Gente De Zona,2cy1zPcrFcXAJTP0APWewL,"latin, latin dance",71,found,2014,2014,2014,1,Bailando
GloRilla,GloRilla,2qoQgPAilErOKCwE2Y8wOG,,77,found,2023,2023,2023,1,Tomorrow 2
Grace Potter,Grace Potter,1PJVVIeS5Wu0wbZDhtC0Ht,,51,found,2011,2011,2011,1,You and Tequila
Grandmaster Caz,Grandmaster Caz,6QeZTS8BrU3r2TYJdA68j9,old school hip hop,48,found,2015,2015,2015,1,Downtown
Gus Dapperton,Gus Dapperton,6sHCvZe1PHrOAuYlwTLNH4,bedroom pop,57,found,2020,2020,2020,1,Supalonely
Hardy,HARDY,5QNm7E7RU2m64l6Gliu8Oy,"country, country rock",73,found,2023,2023,2023,1,Wait in the Truck
Hollis,Hollis,28KOnhhvUnyvgRNXEQ41WL,,50,found,2014,2014,2014,1,White Walls
Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,,78,found,2004,2004,2004,1,I Like That
ILoveMakonnen,ILOVEMAKONNEN,3aGFCoR8xGN6DKwvdzeSja,,56,found,2015,2015,2015,1,Tuesday
Internet Money,Internet Money,6MPCFvOQv5cIGfw3jODMF0,,66,found,2021,2021,2021,1,Lemonade
J-Weav,Jason Weaver,5UdPkKWd8YNR5xGcmqH9QJ,,60,found,2004,2004,2004,1,One Call Away
JID,JID,6U3ybJ9UHNKEdsH7ktGBZ7,,76,found,2022,2022,2022,1,Enemy
JP Saxe,JP Saxe,66W9LaWS0DPdL7Sz8iYGYe,,63,found,2020,2020,2020,1,If the World Was Ending
Jake Scott,Jake Scott,0DxPHf2flBAcV2SnZPg3SV,,52,found,2022,2022,2022,1,She Likes It
Jawsh 685,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,,57,found,2020,2020,2020,1,Savage Love (Laxed – Siren Beat)
Jelly Roll,Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,"country hip hop, country",80,found,2023,2023,2023,1,Need a Favor
Jennifer Lawrence,Jennifer Lawrence,3oCIYpmkFw8KGWwMNPKgXh,,54,found,2015,2015,2015,1,The Hanging Tree
Jessica Darrow,Jessica Darrow,4vdAAzZBUKbsrvHi6UR7B7,,51,found,2022,2022,2022,1,Surface Pressure
Jhay Cortez,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,"reggaeton, trap latino, urbano latino",81,found,2021,2021,2021,1,Dakiti
Jhené Aiko,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,r&b,77,found,2015,2015,2015,1,Post to Be
Jnr Choi,JNR CHOI,1Z25ZlGHqqlr3o1UGQOfNn,,48,found,2022,2022,2022,1,To the Moon
Jonah Matranga,Jonah Matranga,3Ztgr9y1L9ZfoIOEsCrZEb,,51,found,2006,2006,2006,1,Where'd You Go
Josey Scott,Josey Scott,5mNloTgSaf5qCyk48t9NSP,,51,found,2002,2002,2002,1,Hero
Jvke,JVKE,164Uj4eKjl6zTBKfJLFKKK,,78,found,2023,2023,2023,1,Golden Hour
Kai,Kaiser Chiefs,0LbLWjaweRbO4FDKYlbfNt,britpop,60,found,2016,2016,2016,1,Never Be Like You
Kaliii,Kaliii,1YRqgFNXqRyMDRr8ClS1NL,,55,found,2023,2023,2023,1,Area Codes
Kandi Girl,Kandi Girl,41TccBHnkaVhhgCgl83JU8,,49,found,2006,2006,2006,1,U and Dat
Katelyn Brown,Katelyn Brown,2GB8NPGTvSHk3KwmxtVvaB,country,51,found,2023,2023,2023,1,Thank God
Kevin McCall,Kevin McCall,2teIxF2qgr0rYmTTMKiZ7s,,57,found,2010,2010,2010,1,Deuces
Kyjuan,Kyjuan,6kD993mKIytiN9sE6VyRfa,,46,found,2003,2003,2003,1,Air Force Ones
Kyle,Kyle Hume,0p3tzEAt0XWrBqbrwBoN1I,,60,found,2017,2017,2017,1,iSpy
Lauren Spencer-Smith,Lauren Spencer Smith,79AyR6ATpj2LTPxfb6FX50,,69,found,2022,2022,2022,1,Fingers Crossed
Lil Boosie,Lil Boosie,1dZj9MWXyeVTdP1ezinAwa,southern hip hop,31,found,2008,2008,2008,1,Independent
Lil Tecca,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,"melodic rap, rap",80,found,2019,2019,2019,1,Ransom
Lil' Bow Wow,Bow Wow,7352aRY2mqSxBZwzUb6LmA,r&b,61,found,2000,2000,2000,1,Bounce with Me
Lil' Romeo,Lil' Romeo,2AXQzJRDvlJrq0fiVAnRy8,,23,found,2001,2001,2001,1,My Baby
Lil' Scrappy,Lil Scrappy,5einkgXXrjhfYCyac1FANB,"crunk, southern hip hop",55,found,2007,2007,2007,1,Rock Yo Hips
Lookas,Lookas,27fy6rHPC58Eo2VUu0iJSG,edm trap,57,found,2015,2015,2015,1,G.D.F.R.
Los Lonely Boys,Los Lonely Boys,4aSEmLLxLX9wR5aLMllOKj,,47,found,2004,2004,2004,1,Heaven
Mae Muller,Mae Muller,1BEUkE2CSUgHTLSBMZdnFB,,55,found,2022,2022,2022,1,Better Days
Magic!,MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,,68,found,2014,2014,2014,1,Rude
Mary Lambert,Mary Lambert,5Z2NUZiY3FA00HKu5WTMhA,,47,found,2013,2013,2013,1,Same Love
Masked Wolf,Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd,,61,found,2021,2021,2021,1,Astronaut in the Ocean
Matthew Santos,Matthew Santos,5t2P9w0qT2I9y0DrNhykSj,,55,found,2008,2008,2008,1,Superstar
Max,Max McNown,340PS4ZcZ4UCBgyrXzEjcp,,74,found,2018,2018,2018,1,Lights Down Low
Megan Moroney,Megan Moroney,5Ppie0uPnbnvGBYRwYmlt0,country,75,found,2023,2023,2023,1,Tennessee Orange
Melle Mel,Melle Mel,2vFI46txKvL9Gde572uNTz,,23,found,2015,2015,2015,1,Downtown
Mims,Mims,6RRYjswZrDD1U2lL9FFEPU,,4,found,2007,2007,2007,1,This Is Why I'm Hot
Mooski,Mooski,4NqH3V7GS0Igs1VyGMXEi8,,42,found,2021,2021,2021,1,Track Star
Mr Hudson,Mr Hudson,1zV9UjTUevjp5VUddqIUUn,,59,found,2010,2010,2010,1,Young Forever
Ms. Thing,Ms. Thing,72cbi5bA8U2sMttAnKIaen,"dancehall, ragga, reggae",43,found,2004,2004,2004,1,Dude
Muni Long,Muni Long,7tjVFCxJdwT4NdrTmjyjQ6,,68,found,2022,2022,2022,1,Hrs and Hrs
Måneskin,Måneskin,0lAWpj5szCSwM4rUMHYmrr,,78,found,2021,2021,2021,1,Beggin'
Natalie,Natalie Jane,5bfglVyGJppmmNoC2rhBUG,,61,found,2005,2005,2005,1,Goin' Crazy
Natalie La Rose,Natalie La Rose,2qdONMCoDngQk0eV4Avs1i,,48,found,2015,2015,2015,1,Somebody
Natanael Cano,Natanael Cano,0elWFr7TW8piilVRYJUe4P,"corridos tumbados, corrido, corridos bélicos, sierreño, sad sierreño, electro corridos, música mexicana, banda",85,found,2023,2023,2023,1,PRC
Nav,NAV,7rkW85dBwwrJtlHRDkJDAC,melodic rap,71,found,2021,2021,2021,1,Lemonade
Neiked,NEIKED,5H6xmHXjsq98NLbEjuE29f,,61,found,2022,2022,2022,1,Better Days
Nick Lachey,Nick Lachey,6ewMqjrF31lC8ywRsvm073,lullaby,42,found,2006,2006,2006,1,What's Left of Me
Nicky Youre,Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,,64,found,2022,2022,2022,1,Sunroof
Niia,Niia,1KlUwB6uFECMC3zzvFvykx,,56,found,2008,2008,2008,1,Sweetest Girl (Dollar Bill)
Niko Moon,Niko Moon,6Rw7DRa1dzChBvxGPCpOxU,country,55,found,2021,2021,2021,1,Good Time
Nitti,Nitti,72NU0FPsKjpO730t9vbW0a,,0,found,2006,2006,2006,1,It's Goin' Down
Noah Kahan,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,,84,found,2023,2023,2023,1,Dial Drunk
Oliver Anthony Music,Oliver Anthony Music,6IkfE2JyVoKwBZXvuytKX3,country,62,found,2023,2023,2023,1,Rich Men North of Richmond
Olivia,Olivia Dean,00x1fYSGhdqScXBRpSj3DW,pop soul,91,found,2005,2005,2005,1,Candy Shop
Parker McCollum,Parker McCollum,0Z8XVUAOBPM4x12wKnFHEQ,"texas country, red dirt, country",68,found,2023,2023,2023,1,Handle on You
Paul McCoy,Paul McCoy,48Mb31TcOhPFjwacZPbiU9,,29,found,2003,2003,2003,1,Bring Me to Life
PinkPantheress,PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,bedroom pop,78,found,2023,2023,2023,1,Boy's a Liar Pt. 2
Pinkfong,Pinkfong,7cTXfwpe9peK0UE1bZyIWZ,"children's music, lullaby",67,found,2019,2019,2019,1,Baby Shark
Polow da Don,Polow Da Don,0gcDAjaKZIKMdYJoIdrIfR,,42,found,2007,2007,2007,1,Throw Some D's
Powfu,Powfu,6bmlMHgSheBauioMgKv2tn,,68,found,2020,2020,2020,1,Death Bed
QB Finest,QB Finest,06X9ub06B2zsqDpmHUqh3K,,4,found,2001,2001,2001,1,Oochie Wally
Ray Dalton,Ray Dalton,4e0nWw2r4BoQSKPQ2zpU13,,72,found,2013,2013,2013,1,Can't Hold Us
Raye,RAYE,5KKpBU5eC2tJDzf0wmlRp2,,84,found,2023,2023,2023,1,Escapism
Rema,Rema,46pWGuE3dSwY3bMMXGBvVS,"afrobeats, afrobeat, afropop, afropiano",78,found,2023,2023,2023,1,Calm Down
Remy Boyz,Remy Boyz,2s0yxtiHiyGe6CY4mbDYFi,,58,found,2016,2016,2016,1,679
Rhenzy Feliz,Rhenzy Feliz,2as15AH2BTrPk8v4gyElmr,,54,found,2022,2022,2022,1,We Don't Talk About Bruno
Rich the Kid,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,trap,66,found,2018,2018,2018,1,Plug Walk
Rikrok,Rik Rok,67wCYxOq4A1ohAs7jWYaOJ,"dancehall, riddim, lovers rock, ragga",64,found,2001,2001,2001,1,It Wasn't Me
Ritt Momney,Ritt Momney,7MPGCB854Qo4alYMOPkBka,bedroom pop,52,found,2021,2021,2021,1,Put Your Records On
Roman GianArthur,Roman GianArthur,7hgRzsQGjlm1zifNoigyB9,neo soul,41,found,2015,2015,2015,1,Classic Man
Rozes,Rozes,6tARJVc2sZDHgAHOYJhRp8,,0,found,2016,2016,2016,1,Roses
Ruth B,Ruth B.,2WzaAvm2bBCf4pEhyuDgCY,,71,found,2016,2016,2016,1,Lost Boy
Ryan Hurd,Ryan Hurd,7lDVEkjIURPMyUYwoQRrpw,country,51,found,2021,2021,2021,1,Chasing After You
Ryan Tedder,Ryan Tedder,4we5S2VLjgY9KzIzApL1KI,,62,found,2011,2011,2011,1,Rocketeer
Sabi,Sabi,3tB8VKd0rtEnc9x8l78ymo,,56,found,2011,2011,2011,1,You Make Me Feel...
Sacario,Sacario,7bbJOUpJk7Y8Pkr2fCtDsc,,32,found,2002,2002,2002,1,If I Could Go!
Sage the Gemini,Sage The Gemini,6d47Z08T4snK50HgTEHo5Z,hyphy,63,found,2015,2015,2015,1,G.D.F.R.
Saint Jhn,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,,67,found,2020,2020,2020,1,Roses (Imanbek remix)
Sean Garrett,Sean Garrett,4aWpJudn4ljEWahx6cPEGu,,38,found,2009,2009,2009,1,Break Up
Sean P,Sean Paul,3Isy6kedDrgPYoTS1dazA9,dancehall,83,found,2006,2006,2006,1,Do It to It
Social House,Social House,5UjifI1TYefXWn9GdqDOHl,,64,found,2019,2019,2019,1,Boyfriend
Son by Four,Son By Four,1qyAl8T6GTcaOViaI7fs1j,salsa,53,found,2000,2000,2000,1,Purest of Pain (A Puro Dolor)
Sonique,Sonique,5xtqw2B8z8JGfDYi2eAZHI,,65,found,2000,2000,2000,1,It Feels So Good
Sons of the Desert,Sons Of The Desert,11CLs6bp5aUHnVdkfqq3rV,,14,found,2000,2000,2000,1,I Hope You Dance
SpotemGottem,SpotemGottem,3Y2MLcrD3ZQXRXmtn4fZQx,,50,found,2021,2021,2021,1,Beat Box
Spragga Benz,Spragga Benz,2RUW6D53228zMHAXjaQI8f,"dancehall, ragga, reggae, riddim",41,found,2004,2004,2004,1,Turn Me On
StaySolidRocky,StaySolidRocky,1XLWox9w1Yvbodui0SRhUQ,,58,found,2020,2020,2020,1,Party Girl
Stephanie Beatriz,Stephanie Beatriz,5PYToRCsrnvikZg3yl2JMr,,74,found,2022,2022,2022,1,We Don't Talk About Bruno
Stephen Sanchez,Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,,73,found,2023,2023,2023,1,Until I Found You
Surf Mesa,Surf Mesa,1lmU3giNF3CSbkVSQmLpHQ,,60,found,2020,2020,2020,1,ILY (I Love You Baby)
Surfaces,Surfaces,4ETSs924pXMzjIeD6E9b4u,,62,found,2020,2020,2020,1,Sunday Best
The Anxiety,THE ANXIETY,64H8UqGLbJFHwKtGxiV8OP,,58,found,2022,2022,2022,1,Meet Me at Our Spot
The D.E.Y.,London Symphony Orchestra,5yxyJsFanEAuwSM5kOuZKc,"classical, orchestral, opera",75,found,2007,2007,2007,1,Walk Away (Remember Me)
The Product G&B,The Product G&B,782IpIScTpnDhYb9hyxOu1,,60,found,2000,2000,2000,1,Maria Maria
Thrust,Thrust,6Dq408AS2fr8nlo85Rb5OD,underground hip hop,23,found,2000,2000,2000,1,Faded
Tiara Thomas,Tiara Thomas,69FykkhiqpzqeSNYRxc8BI,,46,found,2013,2013,2013,1,Bad
Tones and I,Tones And I,2NjfBq1NflQcKSeiDooVjY,,71,found,2020,2020,2020,1,Dance Monkey
Toosii,Toosii,6BH1xcDkwbbyrLMUKECsW1,,65,found,2023,2023,2023,1,Favorite Song
Trevor Daniel,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,,62,found,2020,2020,2020,1,Falling
Tyler Cole,Tyler Cole,1xoxekeb8jUVHKJB7m6bfg,,58,found,2022,2022,2022,1,Meet Me at Our Spot
Walk the Moon,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,,67,found,2015,2015,2015,1,Shut Up and Dance
Wanz,Wanz,56xTxG4nQMAs1GW9kvn0uA,g-funk,62,found,2013,2013,2013,1,Thrift Shop
Willa Ford,Willa Ford,0kuEP1E9k3WBEwMKwEmp9u,,37,found,2001,2001,2001,1,I Wanna Be Bad
Willow,WILLOW,3rWZHrfrsPBxVy692yAIxF,,70,found,2022,2022,2022,1,Meet Me at Our Spot
Wynter,Wynter,3DPBVk2CE9Tr0AAEEq19iB,,35,found,2009,2009,2009,1,Sugar
YK Osiris,YK Osiris,7meyrw7Or5DwteYxDJrkCM,,58,found,2019,2019,2019,1,Worth It
Yng Lvcas,Yng Lvcas,1NNRWkhwmcXRimFYSBpB1y,"reggaeton mexa, reggaeton, electro corridos, dembow belico",67,found,2023,2023,2023,1,La Bebé
Yung Bleu,Yung Bleu,3KNIG74xSTc3dj0TRy7pGX,,63,found,2021,2021,2021,1,You're Mines Still
Zacari,Zacari,3qBKjEOanahMxlRojwCzhI,,67,found,2018,2018,2018,1,Love
Zay Hilfigerrr & Zayion McCall,Zion Foster,7z5nU71I7KTEdTHiPMfwL6,uk r&b,42,found,2017,2017,2017,1,Juju on That Beat (TZ Anthem)
[a],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,pop,94,found,2016,2016,2016,1,Pop Style
soulDecision,SoulDecision,6hYrBYtoVGArYJcqvYxN4r,,34,found,2000,2000,2000,1,Faded
