year,genre,artist_count,total_appearances
2023,pop,27,46
2023,dance pop,20,50
2023,rap,18,34
2023,pop rap,11,22
2023,post-teen pop,10,15
2023,trap music,8,11
2023,contemporary country,7,36
2023,hip hop,6,19
2023,southern hip hop,6,7
2023,country road,5,15
2023,uk pop,5,5
2023,r&b,5,6
2023,atl hip hop,3,12
2023,urban contemporary,3,3
2023,europop,2,2
2023,canadian pop,2,6
2023,adult standards,2,4
2023,hip pop,2,4
2023,reggaeton,2,6
2023,edm,1,1
2023,bubblegum dance,1,2
2023,eurodance,1,1
2023,dance rock,1,1
2023,disco,1,1
2023,motown,1,1
2023,new romantic,1,1
2023,new wave,1,1
2023,new wave pop,1,1
2023,soft rock,1,1
2023,atl trap,1,2
2023,underground hip hop,1,1
2023,vapor trap,1,1
2023,canadian hip hop,1,10
2023,toronto rap,1,5
2023,dfw rap,1,6
2023,philly rap,1,2
2023,american folk revival,1,1
2023,brill building pop,1,1
2023,easy listening,1,1
2023,lounge,1,1
2023,nashville sound,1,1
2023,rockabilly,1,1
2023,vocal jazz,1,1
2023,canadian contemporary r&b,1,2
2023,chicago drill,1,2
2023,chicago rap,1,1
2023,drill,1,1
2023,colombian pop,1,4
2023,latin,1,2
2023,latin pop,1,2
2023,mexican pop,1,2
2023,conscious hip hop,1,2
2023,nc hip hop,1,1
2023,country dawn,1,1
2023,deep talent show,1,8
2023,country,1,1
2023,electropop,1,2
2023,florida rap,1,2
2023,miami hip hop,1,1
2023,trap latino,1,2
2022,pop,22,40
2022,contemporary country,15,46
2022,rap,14,24
2022,country road,12,20
2022,dance pop,11,29
2022,post-teen pop,10,16
2022,pop rap,9,15
2022,country,8,10
2022,trap music,8,13
2022,modern country rock,7,9
2022,atl hip hop,5,18
2022,hip hop,5,13
2022,southern hip hop,5,9
2022,canadian pop,4,12
2022,uk pop,4,10
2022,piano rock,3,3
2022,reggaeton,3,19
2022,country pop,2,3
2022,modern rock,2,3
2022,rock,2,2
2022,atl trap,2,2
2022,gangster rap,2,2
2022,adult standards,2,4
2022,canadian contemporary r&b,2,6
2022,r&b,2,2
2022,afro dancehall,1,2
2022,afropop,1,1
2022,azonto,1,1
2022,nigerian hip hop,1,1
2022,nigerian pop,1,1
2022,modern uplift,1,1
2022,neo mellow,1,1
2022,pop rock,1,1
2022,gauze pop,1,2
2022,indietronica,1,1
2022,shiver pop,1,1
2022,canadian hip hop,1,6
2022,toronto rap,1,3
2022,dfw rap,1,4
2022,american folk revival,1,1
2022,brill building pop,1,1
2022,easy listening,1,1
2022,lounge,1,1
2022,nashville sound,1,1
2022,rockabilly,1,1
2022,vocal jazz,1,1
2022,alternative r&b,1,2
2022,viral pop,1,1
2022,art pop,1,2
2022,art rock,1,1
2022,baroque pop,1,1
2022,dance rock,1,1
2022,lilith,1,1
2022,new wave,1,1
2022,new wave pop,1,1
2022,permanent wave,1,1
2022,singer-songwriter,1,1
2022,british soul,1,4
2022,chicago drill,1,4
2022,chicago rap,1,2
2022,drill,1,2
2022,deep talent show,1,5
2022,outlaw country,1,1
2022,red dirt,1,1
2022,texas country,1,1
2022,country rap,1,4
2022,crunk,1,2
2022,dirty south rap,1,1
2022,memphis hip hop,1,1
2022,electropop,1,1
2022,hip pop,1,1
2022,urban contemporary,1,1
2022,escape room,1,2
2022,florida rap,1,2
2022,miami hip hop,1,1
2022,glam rock,1,2
2022,mellow gold,1,1
2022,latin viral pop,1,2
2022,rap latina,1,1
2022,trap latino,1,7
2021,pop,29,48
2021,rap,21,40
2021,contemporary country,16,35
2021,pop rap,13,23
2021,trap music,12,20
2021,dance pop,12,34
2021,country road,12,14
2021,country,11,12
2021,southern hip hop,9,13
2021,hip hop,9,22
2021,post-teen pop,9,18
2021,modern country rock,8,9
2021,atl hip hop,6,19
2021,country pop,4,5
2021,canadian pop,4,22
2021,canadian contemporary r&b,3,10
2021,uk pop,3,4
2021,canadian hip hop,2,14
2021,toronto rap,2,7
2021,modern rock,2,3
2021,atl trap,2,6
2021,gangster rap,2,3
2021,chicago rap,2,6
2021,r&b,2,2
2021,edm,1,1
2021,tropical house,1,1
2021,brostep,1,2
2021,progressive electro house,1,1
2021,miami hip hop,1,1
2021,afro dancehall,1,2
2021,afropop,1,1
2021,azonto,1,1
2021,nigerian hip hop,1,1
2021,nigerian pop,1,1
2021,boy band,1,2
2021,modern uplift,1,1
2021,gauze pop,1,2
2021,indietronica,1,1
2021,shiver pop,1,1
2021,k-pop,1,4
2021,k-pop boy group,1,2
2021,adult standards,1,2
2021,brill building pop,1,1
2021,easy listening,1,1
2021,lounge,1,1
2021,nashville sound,1,1
2021,rockabilly,1,1
2021,vocal jazz,1,1
2021,alternative r&b,1,2
2021,australian country,1,2
2021,chicago drill,1,8
2021,drill,1,4
2021,conscious hip hop,1,1
2021,colombian pop,1,2
2021,country dawn,1,1
2021,redneck,1,1
2021,country rap,1,4
2021,crunk,1,2
2021,dirty south rap,1,1
2021,memphis hip hop,1,1
2021,viral pop,1,1
2021,urban contemporary,1,1
2021,dutch pop,1,2
2021,electropop,1,4
2021,escape room,1,2
2021,reggaeton,1,4
2021,trap latino,1,2
2020,pop,35,56
2020,rap,23,49
2020,trap music,17,31
2020,pop rap,16,24
2020,dance pop,16,43
2020,contemporary country,15,40
2020,hip hop,12,20
2020,post-teen pop,12,19
2020,southern hip hop,10,16
2020,country road,10,15
2020,country,7,8
2020,atl hip hop,5,22
2020,canadian pop,4,17
2020,country pop,3,3
2020,modern country rock,3,4
2020,r&b,3,4
2020,uk pop,3,5
2020,atl trap,2,8
2020,gangster rap,2,3
2020,cali rap,2,6
2020,canadian hip hop,2,12
2020,toronto rap,2,6
2020,viral pop,2,2
2020,chicago rap,2,11
2020,electropop,2,5
2020,rap conscient,1,2
2020,vapor trap,1,1
2020,brostep,1,2
2020,progressive electro house,1,1
2020,miami hip hop,1,1
2020,boy band,1,2
2020,k-pop,1,2
2020,k-pop boy group,1,1
2020,detroit hip hop,1,2
2020,g funk,1,1
2020,dfw rap,1,2
2020,canadian contemporary r&b,1,4
2020,chicago drill,1,2
2020,drill,1,1
2020,deep talent show,1,2
2020,country dawn,1,1
2020,country rap,1,2
2020,etherpop,1,1
2020,indie poptimism,1,1
2020,europop,1,1
2020,hip pop,1,1
2020,pop rock,1,1
2020,urban contemporary,1,1
2020,east coast hip hop,1,2
2020,new orleans rap,1,1
2020,latin,1,2
2020,reggaeton,1,1
2019,pop,39,93
2019,rap,22,47
2019,dance pop,18,50
2019,trap music,16,25
2019,post-teen pop,15,25
2019,pop rap,14,23
2019,contemporary country,11,30
2019,southern hip hop,9,11
2019,country road,9,11
2019,atl hip hop,7,22
2019,country,7,7
2019,hip hop,6,11
2019,edm,4,5
2019,modern country rock,4,4
2019,reggaeton,4,8
2019,tropical house,3,3
2019,canadian pop,3,10
2019,electropop,3,9
2019,r&b,3,4
2019,modern rock,2,3
2019,boy band,2,6
2019,metropopolis,2,3
2019,country pop,2,2
2019,atl trap,2,5
2019,gangster rap,2,3
2019,dirty south rap,2,3
2019,latin,2,4
2019,uk pop,2,3
2019,chicago rap,2,6
2019,vapor trap,2,2
2019,trap latino,2,3
2019,hollywood,1,2
2019,bmore,1,2
2019,moombahton,1,1
2019,ninja,1,1
2019,brostep,1,4
2019,progressive electro house,1,2
2019,electronic trap,1,1
2019,baroque pop,1,4
2019,emo,1,2
2019,pop punk,1,2
2019,trap queen,1,1
2019,cali rap,1,2
2019,canadian hip hop,1,8
2019,toronto rap,1,4
2019,dfw rap,1,10
2019,emo rap,1,2
2019,philly rap,1,1
2019,latin hip hop,1,1
2019,tropical,1,1
2019,australian pop,1,2
2019,viral pop,1,2
2019,ccm,1,2
2019,christian music,1,1
2019,worship,1,1
2019,conscious hip hop,1,4
2019,nc hip hop,1,2
2019,deep talent show,1,1
2019,redneck,1,1
2019,country rap,1,4
2019,etherpop,1,2
2019,indie poptimism,1,2
2019,hip pop,1,1
2019,uk contemporary r&b,1,1
2019,florida rap,1,4
2019,miami hip hop,1,2
2019,underground hip hop,1,1
2019,reggae fusion,1,2
2018,pop,58,118
2018,rap,35,67
2018,pop rap,31,53
2018,dance pop,26,70
2018,hip hop,21,43
2018,trap music,21,27
2018,post-teen pop,20,30
2018,southern hip hop,15,19
2018,atl hip hop,11,32
2018,contemporary country,10,22
2018,uk pop,8,11
2018,country road,6,7
2018,r&b,6,7
2018,reggaeton,5,12
2018,tropical house,4,4
2018,country,4,5
2018,canadian pop,4,14
2018,conscious hip hop,4,13
2018,edm,3,4
2018,viral pop,3,3
2018,miami hip hop,3,5
2018,modern rock,3,10
2018,gangster rap,3,3
2018,emo rap,3,12
2018,latin,3,12
2018,indie poptimism,2,4
2018,electro house,2,2
2018,modern country rock,2,3
2018,atl trap,2,2
2018,dirty south rap,2,2
2018,canadian hip hop,2,18
2018,latin hip hop,2,3
2018,tropical,2,3
2018,canadian contemporary r&b,2,6
2018,chicago rap,2,4
2018,urban contemporary,2,2
2018,trap latino,2,3
2018,brostep,1,6
2018,progressive electro house,1,3
2018,house,1,1
2018,progressive house,1,1
2018,uk dance,1,1
2018,boy band,1,2
2018,indie pop,1,2
2018,metropopolis,1,2
2018,rock,1,4
2018,pop edm,1,1
2018,country pop,1,2
2018,cali rap,1,2
2018,toronto rap,1,8
2018,dmv rap,1,1
2018,underground hip hop,1,1
2018,west coast rap,1,4
2018,crunk,1,2
2018,memphis hip hop,1,1
2018,detroit hip hop,1,2
2018,dfw rap,1,8
2018,indie pop rap,1,2
2018,vapor trap,1,1
2018,complextro,1,2
2018,german techno,1,1
2018,electropop,1,3
2018,etherpop,1,3
2018,hip pop,1,4
2018,uk contemporary r&b,1,2
2018,francoton,1,2
2018,indie r&b,1,2
2018,indietronica,1,1
2018,uk alternative pop,1,1
2017,pop,69,131
2017,rap,35,64
2017,pop rap,31,55
2017,dance pop,30,78
2017,post-teen pop,28,43
2017,hip hop,22,49
2017,trap music,22,41
2017,uk pop,14,18
2017,southern hip hop,12,27
2017,atl hip hop,10,44
2017,tropical house,8,11
2017,contemporary country,8,15
2017,edm,7,13
2017,electropop,5,12
2017,country road,5,5
2017,canadian pop,4,17
2017,country,4,4
2017,electro house,3,5
2017,miami hip hop,3,5
2017,modern rock,3,7
2017,conscious hip hop,3,11
2017,latin,3,6
2017,uk dance,2,3
2017,rock,2,3
2017,gangster rap,2,2
2017,dirty south rap,2,6
2017,underground hip hop,2,3
2017,reggaeton,2,2
2017,tropical,2,2
2017,canadian contemporary r&b,2,10
2017,viral pop,2,4
2017,country pop,2,2
2017,country dawn,2,2
2017,modern country rock,2,2
2017,r&b,2,4
2017,house,1,2
2017,progressive house,1,2
2017,electronic trap,1,1
2017,uk funky,1,1
2017,indie pop,1,2
2017,permanent wave,1,2
2017,pop punk,1,2
2017,pop edm,1,1
2017,electro,1,4
2017,electronic,1,2
2017,filter house,1,2
2017,atl trap,1,1
2017,canadian hip hop,1,6
2017,toronto rap,1,3
2017,dmv rap,1,1
2017,west coast rap,1,4
2017,detroit hip hop,1,4
2017,dfw rap,1,4
2017,memphis hip hop,1,1
2017,viral trap,1,1
2017,emo rap,1,2
2017,latin hip hop,1,1
2017,philly rap,1,4
2017,alternative r&b,1,2
2017,lgbtq+ hip hop,1,1
2017,australian country,1,2
2017,australian pop,1,2
2017,neo mellow,1,1
2017,british soul,1,2
2017,chicago rap,1,2
2017,complextro,1,4
2017,german techno,1,2
2017,dancehall,1,1
2017,etherpop,1,2
2017,indie poptimism,1,2
2017,hip pop,1,3
2017,urban contemporary,1,3
2017,talent show,1,1
2017,florida rap,1,4
2017,francoton,1,2
2017,new orleans rap,1,1
2017,portland hip hop,1,1
2017,latin pop,1,1
2017,modern reggae,1,2
2016,pop,62,106
2016,dance pop,37,106
2016,pop rap,27,43
2016,rap,26,46
2016,post-teen pop,25,44
2016,hip hop,17,40
2016,trap music,17,25
2016,uk pop,17,27
2016,southern hip hop,13,20
2016,tropical house,11,17
2016,electropop,8,16
2016,edm,7,14
2016,r&b,7,10
2016,gangster rap,5,7
2016,viral trap,4,5
2016,hip pop,4,8
2016,atl hip hop,4,12
2016,canadian pop,4,29
2016,urban contemporary,4,7
2016,indie poptimism,4,6
2016,miami hip hop,3,4
2016,electro house,3,4
2016,contemporary country,3,6
2016,country,3,3
2016,country road,3,3
2016,viral pop,3,7
2016,australian dance,2,4
2016,house,2,3
2016,talent show,2,3
2016,danish pop,2,4
2016,scandipop,2,2
2016,modern rock,2,4
2016,rock,2,4
2016,modern country rock,2,2
2016,canadian hip hop,2,20
2016,toronto rap,2,10
2016,canadian contemporary r&b,2,12
2016,chicago rap,2,4
2016,metropopolis,2,2
2016,swedish electropop,2,2
2016,swedish pop,2,2
2016,neo mellow,2,4
2016,uk funky,1,2
2016,australian electropop,1,1
2016,australian indie,1,1
2016,downtempo,1,1
2016,moombahton,1,2
2016,progressive house,1,1
2016,uk dance,1,1
2016,electronic trap,1,3
2016,afro dancehall,1,2
2016,afropop,1,1
2016,azonto,1,1
2016,nigerian hip hop,1,1
2016,nigerian pop,1,1
2016,boy band,1,2
2016,girl group,1,2
2016,trap queen,1,1
2016,modern alternative rock,1,4
2016,stomp pop,1,2
2016,permanent wave,1,4
2016,pop punk,1,6
2016,pop edm,1,1
2016,country pop,1,1
2016,electro,1,2
2016,electronic,1,1
2016,filter house,1,1
2016,atl trap,1,1
2016,underground hip hop,1,1
2016,conscious hip hop,1,2
2016,dmv rap,1,1
2016,east coast hip hop,1,1
2016,hardcore hip hop,1,1
2016,dfw rap,1,2
2016,dirty south rap,1,2
2016,memphis hip hop,1,1
2016,indie pop rap,1,1
2016,pittsburgh rap,1,2
2016,new jersey rap,1,4
2016,pinoy hip hop,1,2
2016,australian pop,1,1
2016,british soul,1,6
2016,complextro,1,2
2016,german techno,1,1
2016,dancehall,1,1
2016,etherpop,1,1
2016,swedish synthpop,1,1
2016,new orleans rap,1,1
2016,uk contemporary r&b,1,1
2016,neo soul,1,1
2016,pop rock,1,2
2015,pop,66,115
2015,dance pop,39,120
2015,pop rap,28,47
2015,post-teen pop,23,44
2015,rap,22,43
2015,trap music,15,20
2015,hip hop,14,28
2015,southern hip hop,14,18
2015,uk pop,13,21
2015,edm,11,16
2015,tropical house,10,12
2015,r&b,9,14
2015,urban contemporary,7,9
2015,pop rock,5,7
2015,electro house,4,4
2015,talent show,4,5
2015,modern rock,4,5
2015,electropop,4,6
2015,gangster rap,4,6
2015,canadian pop,4,16
2015,neo mellow,4,6
2015,viral pop,4,6
2015,house,3,3
2015,contemporary country,3,8
2015,latin,3,4
2015,viral trap,3,4
2015,australian pop,3,6
2015,hip pop,3,11
2015,uk dance,2,2
2015,progressive house,2,2
2015,moombahton,2,2
2015,electro,2,2
2015,country,2,2
2015,country road,2,2
2015,indietronica,2,2
2015,hyphy,2,2
2015,west coast rap,2,2
2015,miami hip hop,2,2
2015,atl hip hop,2,4
2015,canadian contemporary r&b,2,10
2015,chicago rap,2,6
2015,metropopolis,2,3
2015,tropical,2,2
2015,deep groove house,1,2
2015,disco house,1,1
2015,scorecore,1,2
2015,soundtrack,1,1
2015,big room,1,2
2015,deep big room,1,1
2015,dutch house,1,1
2015,progressive electro house,1,1
2015,bmore,1,2
2015,ninja,1,1
2015,electronic trap,1,2
2015,boy band,1,4
2015,brostep,1,2
2015,complextro,1,1
2015,country dawn,1,1
2015,modern country rock,1,1
2015,girl group,1,1
2015,emo,1,4
2015,pop punk,1,2
2015,indie pop,1,2
2015,indie poptimism,1,1
2015,modern alternative rock,1,2
2015,stomp pop,1,1
2015,reggae fusion,1,2
2015,virgin islands reggae,1,1
2015,cali rap,1,2
2015,canadian hip hop,1,12
2015,toronto rap,1,6
2015,conscious hip hop,1,2
2015,crunk,1,4
2015,dirty south rap,1,2
2015,memphis hip hop,1,2
2015,detroit hip hop,1,4
2015,ghanaian hip hop,1,2
2015,philly rap,1,1
2015,pittsburgh rap,1,1
2015,houston rap,1,2
2015,new jersey rap,1,6
2015,pinoy hip hop,1,2
2015,album rock,1,2
2015,art rock,1,1
2015,classic rock,1,1
2015,folk rock,1,1
2015,mellow gold,1,1
2015,rock,1,1
2015,soft rock,1,1
2015,australian dance,1,4
2015,british soul,1,2
2015,country pop,1,2
2015,danish pop,1,1
2015,deep pop r&b,1,1
2015,swedish electropop,1,2
2015,swedish pop,1,2
2015,swedish synthpop,1,2
2015,west coast trap,1,1
2015,latin pop,1,1
2015,mexican pop,1,1
2015,east coast hip hop,1,2
2015,hardcore hip hop,1,1
2015,hip house,1,1
2015,new jack swing,1,1
2015,old school hip hop,1,1
2015,folk-pop,1,2
2015,irish singer-songwriter,1,1
2015,new orleans rap,1,2
2015,indie folk,1,2
2015,latin hip hop,1,1
2015,reggaeton,1,1
2015,neo soul,1,1
2015,neo-singer-songwriter,1,2
2014,pop,70,114
2014,dance pop,44,110
2014,pop rap,37,57
2014,post-teen pop,25,41
2014,rap,24,36
2014,trap music,19,26
2014,hip hop,18,34
2014,southern hip hop,17,23
2014,contemporary country,12,28
2014,tropical house,11,14
2014,uk pop,11,14
2014,country,11,13
2014,country road,10,12
2014,r&b,10,15
2014,edm,8,12
2014,atl hip hop,8,20
2014,neo mellow,7,11
2014,electropop,7,10
2014,urban contemporary,7,8
2014,metropopolis,6,9
2014,modern country rock,6,7
2014,gangster rap,6,8
2014,modern rock,5,8
2014,latin,5,6
2014,pop rock,5,6
2014,dirty south rap,5,8
2014,australian pop,4,7
2014,hip pop,4,8
2014,uk dance,3,3
2014,country dawn,3,3
2014,country pop,3,4
2014,latin pop,3,3
2014,crunk,3,6
2014,neo soul,3,3
2014,modern alternative rock,2,3
2014,big room,2,6
2014,progressive house,2,2
2014,electro house,2,3
2014,house,2,3
2014,boy band,2,6
2014,candy pop,2,6
2014,reggaeton,2,2
2014,tropical,2,2
2014,piano rock,2,3
2014,indie poptimism,2,4
2014,g funk,2,3
2014,underground hip hop,2,4
2014,alternative r&b,2,4
2014,chicago rap,2,3
2014,deep pop r&b,2,2
2014,mexican pop,2,2
2014,modern blues rock,1,1
2014,south african rock,1,1
2014,electronic trap,1,1
2014,uk contemporary r&b,1,1
2014,viral pop,1,1
2014,talent show,1,1
2014,emo,1,1
2014,pixie,1,1
2014,pop emo,1,1
2014,pop punk,1,1
2014,cubaton,1,2
2014,latin hip hop,1,1
2014,uk funky,1,1
2014,rock,1,2
2014,permanent wave,1,2
2014,reggae fusion,1,1
2014,atl trap,1,1
2014,australian hip hop,1,8
2014,cali rap,1,4
2014,canadian hip hop,1,6
2014,canadian pop,1,3
2014,toronto rap,1,3
2014,memphis hip hop,1,2
2014,miami hip hop,1,1
2014,detroit hip hop,1,2
2014,west coast rap,1,1
2014,pittsburgh rap,1,1
2014,nyc rap,1,2
2014,acoustic pop,1,2
2014,folk-pop,1,1
2014,lilith,1,1
2014,indie r&b,1,1
2014,trap soul,1,1
2014,art pop,1,4
2014,nz pop,1,2
2014,viral trap,1,2
2014,australian dance,1,2
2014,broadway,1,2
2014,hollywood,1,1
2014,show tunes,1,1
2014,colombian pop,1,2
2014,complextro,1,4
2014,german techno,1,2
2014,swedish electropop,1,1
2014,swedish pop,1,1
2014,swedish synthpop,1,1
2014,europop,1,1
2014,new orleans rap,1,2
2014,latin viral pop,1,2
2014,rap latina,1,1
2013,pop,55,91
2013,dance pop,43,108
2013,pop rap,26,43
2013,post-teen pop,24,37
2013,rap,17,28
2013,contemporary country,12,31
2013,country,12,16
2013,country road,12,16
2013,hip hop,12,22
2013,uk pop,11,12
2013,neo mellow,8,11
2013,southern hip hop,8,12
2013,trap music,8,12
2013,urban contemporary,8,13
2013,r&b,8,13
2013,metropopolis,7,7
2013,modern country rock,7,9
2013,modern rock,7,12
2013,edm,6,10
2013,electropop,6,6
2013,pop rock,6,7
2013,folk-pop,5,11
2013,gangster rap,5,6
2013,tropical house,5,5
2013,electro house,4,5
2013,atl hip hop,4,14
2013,dirty south rap,4,8
2013,hip pop,4,6
2013,candy pop,3,6
2013,talent show,3,3
2013,country dawn,3,3
2013,stomp and holler,3,3
2013,miami hip hop,3,4
2013,neo soul,3,3
2013,big room,2,4
2013,emo,2,3
2013,pop punk,2,2
2013,country pop,2,3
2013,indie folk,2,2
2013,rock,2,4
2013,canadian pop,2,8
2013,conscious hip hop,2,6
2013,europop,2,2
2013,bass trap,1,2
2013,brostep,1,1
2013,electronic trap,1,1
2013,vapor twitch,1,1
2013,chamber pop,1,2
2013,swedish electropop,1,1
2013,swedish synthpop,1,1
2013,house,1,2
2013,progressive house,1,2
2013,uk dance,1,2
2013,progressive electro house,1,1
2013,boy band,1,2
2013,pixie,1,1
2013,pop emo,1,1
2013,celtic rock,1,2
2013,viral pop,1,1
2013,piano rock,1,1
2013,indie pop,1,1
2013,uk americana,1,1
2013,la indie,1,2
2013,modern alternative rock,1,1
2013,stomp pop,1,1
2013,pop edm,1,2
2013,alternative dance,1,2
2013,comic,1,2
2013,electro,1,2
2013,electronic,1,1
2013,filter house,1,1
2013,atl trap,1,1
2013,deep southern trap,1,1
2013,canadian hip hop,1,8
2013,toronto rap,1,4
2013,west coast rap,1,2
2013,latin,1,1
2013,detroit hip hop,1,2
2013,g funk,1,1
2013,pittsburgh rap,1,1
2013,acoustic pop,1,2
2013,lilith,1,1
2013,alternative r&b,1,2
2013,trap soul,1,1
2013,art pop,1,2
2013,nz pop,1,1
2013,australian country,1,2
2013,australian pop,1,2
2013,complextro,1,2
2013,german techno,1,1
2013,nc hip hop,1,1
2013,redneck,1,1
2013,indie poptimism,1,1
2013,k-hop,1,1
2013,k-pop,1,1
2013,new orleans rap,1,1
2013,nashville indie,1,2
2012,pop,50,100
2012,dance pop,34,106
2012,pop rap,25,49
2012,post-teen pop,23,37
2012,rap,16,31
2012,contemporary country,11,28
2012,country,11,14
2012,country road,10,12
2012,pop rock,10,12
2012,hip hop,10,24
2012,trap music,9,15
2012,uk pop,8,12
2012,neo mellow,8,11
2012,southern hip hop,8,14
2012,electropop,8,10
2012,r&b,8,19
2012,modern country rock,6,6
2012,urban contemporary,6,14
2012,australian pop,6,11
2012,edm,4,13
2012,viral pop,4,4
2012,folk-pop,4,6
2012,atl hip hop,4,13
2012,talent show,3,3
2012,modern rock,3,4
2012,canadian pop,3,11
2012,boy band,2,4
2012,country dawn,2,3
2012,pop punk,2,3
2012,miami hip hop,2,6
2012,gangster rap,2,3
2012,acoustic pop,2,4
2012,australian dance,2,6
2012,europop,2,2
2012,electro house,1,3
2012,house,1,3
2012,progressive house,1,3
2012,uk dance,1,3
2012,alternative metal,1,2
2012,nu metal,1,1
2012,post-grunge,1,1
2012,rap metal,1,1
2012,heartland rock,1,1
2012,outlaw country,1,1
2012,texas country,1,1
2012,emo,1,2
2012,indie folk,1,1
2012,stomp and holler,1,1
2012,indie pop,1,2
2012,rock,1,1
2012,permanent wave,1,2
2012,canadian hip hop,1,6
2012,toronto rap,1,3
2012,latin,1,3
2012,detroit hip hop,1,6
2012,g funk,1,2
2012,west coast rap,1,1
2012,underground hip hop,1,1
2012,pittsburgh rap,1,4
2012,alternative r&b,1,2
2012,escape room,1,1
2012,neo soul,1,1
2012,bergen indie,1,2
2012,indietronica,1,1
2012,nz pop,1,1
2012,british soul,1,8
2012,indie poptimism,1,2
2012,chicago rap,1,4
2012,conscious hip hop,1,2
2012,nc hip hop,1,1
2012,metropopolis,1,1
2012,tropical house,1,1
2012,hip pop,1,4
2012,k-hop,1,1
2012,k-pop,1,1
2012,deep pop r&b,1,2
2012,new orleans rap,1,1
2012,modern alternative rock,1,2
2011,pop,56,98
2011,dance pop,48,141
2011,pop rap,43,69
2011,post-teen pop,23,41
2011,rap,23,40
